"horizon","cov_eq","cov_sym","cov_pct","cov_norm","avg_w_eq","avg_w_sym","avg_w_pct","avg_w_norm","med_w_eq","med_w_sym","med_w_pct","med_w_norm"
1,0.52,0.74,0.56,0.81,0.204389909490024,0.270481079797839,0.200235670190749,0.303965834347724,0.195813397134375,0.272952252300695,0.190546409872031,0.297490999431539
6,0.76,0.87,0,0.74,0.264557877601307,0.455978960085195,0.172397025774452,0.36837560038236,0.247519201218174,0.435822814231407,0.166672581619335,0.365386148233796
12,0.89,0.95,0,0.79,0.270783241556476,0.514830178443077,0.150217584363288,0.394655109264026,0.253726961348933,0.487472739876465,0.149360583381219,0.38723856157984
18,0.96,0.96,0,0.84,0.302170434444721,0.531171627727058,0.164043412865103,0.405639496609828,0.293333399795415,0.52346330855717,0.159359093195125,0.405036534386741
