"horizon","true_irf","theta_hat","mean_coef","mean_se_HC","mean_se_NW","lower_sym","upper_sym","lower_eq","upper_eq","lower_pct","upper_pct","lower_norm","upper_norm","iter"
1,0.5,0.440768824282865,0.446398528456583,0.0845961325084796,0.0957597701004715,0.359581644817174,0.521956003748556,0.390744775684209,0.527092789405706,0.405186084269173,0.502956917478446,0.251714312609249,0.62982333595648,1
6,1e-06,0.26844743716977,0.0292549326932805,0.111728010096222,0.118490719560017,-0.0218632051009952,0.558758079440535,-0.0277191981923534,0.147461970966833,0.036488857727797,0.127823870378921,0.111157270077364,0.425737604262176,1
12,0.000244140625,0.247115871713142,-0.050101105363429,0.112928126054375,0.128639809583612,-0.159764169487745,0.65399591291403,-0.174933405056609,0.0585331286327528,0.0305920307300767,0.130577990328278,0.0563424384844943,0.43788930494179,1
18,1e-18,0.207633316672131,-0.018461092847443,0.133199534388439,0.139365113949473,-0.0803766911261996,0.495643324470461,-0.0955839925139915,0.136286496403353,0.0134338558818114,0.190056726784343,0.00595918133301646,0.409307452011245,1
1,0.5,0.431135785363014,0.453636258203302,0.0882624363688406,0.1009136888844,0.244193478852237,0.618078091873791,0.347991848659389,0.636763604857427,0.361141247334017,0.618919849343611,0.266562159149787,0.595709411576241,2
6,1e-06,-0.142555175388891,-0.0175665489859365,0.108352906418372,0.108568320040829,-0.319516296005536,0.0344059452277544,-0.0902485879140185,0.035315751155911,0.00280307564060269,0.101186816728296,-0.330192819972133,0.0450824691943512,2
12,0.000244140625,-0.0275877990460688,-0.0739744186243716,0.116670907252467,0.114457999844442,-0.139508659497759,0.0843330614056214,-0.141652558017401,0.0467362577100501,0.0454512294331259,0.149336494483899,-0.207696803178784,0.152521205086646,2
18,1e-18,-0.051548211838894,0.0106151690394779,0.109335481493552,0.123017518221645,-0.27145150317317,0.168355079495382,-0.16568441760127,0.172594451413262,0.0342812433461301,0.194465705123233,-0.222721135239184,0.119624711561396,2
1,0.5,0.474104319579731,0.47764067571806,0.0871159419082275,0.0977632939472981,0.352691199333335,0.595517439826127,0.359684536424816,0.553655534222077,0.362879440119397,0.528600191430391,0.314767953904068,0.633440685255394,3
6,1e-06,0.0901655750095983,0.143786112580627,0.112961996928213,0.134080207420814,-0.14600213087939,0.326333280898587,-0.11249100429177,0.296635390170154,0.0718771946808232,0.282145748898638,-0.0846345494749654,0.264965699494162,3
12,0.000244140625,-0.174937479896864,0.0982614771107522,0.109607855050554,0.138020881294158,-0.543177263705547,0.193302303911819,0.0144438039231108,0.204745395460453,0.0427443945114973,0.138532324790998,-0.357130513471258,0.00725555367753,3
18,1e-18,-0.0683491640199701,0.122006286598464,0.128512173087072,0.142434229288393,-0.412693744592345,0.275995416552405,-0.0339818566744748,0.282342449114208,0.0723890250518066,0.208596280315931,-0.282222350180064,0.145524022140124,3
1,0.5,0.488787171950674,0.473838192792395,0.103079352778847,0.0987955184994437,0.422176992489624,0.555397351411724,0.416596877235909,0.53201492084562,0.410264642893454,0.539415176542189,0.343176108439583,0.634398235461766,4
6,1e-06,-0.187696476502674,-0.00794336812698895,0.111684608078358,0.127792907832114,-0.414444919096739,0.0390519660913901,-0.0802145597349206,0.0675107311622664,0.026566059544661,0.144789748164345,-0.349241101788885,-0.0261518512164635,4
12,0.000244140625,-0.154622202069525,0.0112581393130777,0.12060979361967,0.128862042559198,-0.531605741529618,0.222361337390568,-0.154017137930161,0.230752733674799,0.0372028769069646,0.214983929521532,-0.373639511934758,0.0643951077957077,4
18,1e-18,0.103141887528978,-0.0362973338042257,0.125691657034867,0.130807149729275,-0.230081884793361,0.436365659851318,-0.290055816372697,0.0769511891468613,0.0266642146213466,0.272433728067004,-0.11284689126174,0.319130666319697,4
1,0.5,0.440840266272414,0.350281959167622,0.0891447838109729,0.103103473915085,0.299827661441028,0.581852871103799,0.29977831887543,0.438867971264774,0.282451268782591,0.438715447993427,0.303497535530649,0.578182997014178,5
6,1e-06,0.13145320962136,0.111554744400997,0.103371078687675,0.10737962435918,-0.0143618320606088,0.27726825130333,-0.0244761380240971,0.223073742718418,0.0750421505749025,0.2368024348191,-0.0212186130103662,0.284125032253087,5
12,0.000244140625,-0.12627575071725,0.00183168667878604,0.110515998958039,0.116527709125594,-0.347971426597613,0.0954199251631135,-0.0922764402375656,0.117434857022502,0.0181861084376719,0.124193627868585,-0.307683751659766,0.0551322502252672,5
18,1e-18,-0.157298580409249,0.059088086843891,0.119617343305597,0.116250578436534,-0.528349194860099,0.2137520340416,-0.0931582326166256,0.231049585082264,0.0303681243504925,0.196575576338083,-0.374695197223328,0.0600980364048297,5
1,0.5,0.401930033129963,0.383010341848131,0.099225282540338,0.10304752682352,0.264109090082463,0.539750976177464,0.305723123701421,0.520304532988845,0.304603495844729,0.553673797006502,0.250798727880495,0.553061338379431,6
6,1e-06,0.0366911997340338,0.0673181434415001,0.114122343724542,0.12430527993693,-0.105145416239542,0.17852781570761,-0.00715925015546634,0.20689489816649,0.00937008181302994,0.178158334869013,-0.182636866387664,0.256019265855731,6
12,0.000244140625,-0.0714002441986779,-0.123821595033215,0.0861184606768501,0.11373096921974,-0.419369837963121,0.276569349565765,-0.426700315995491,0.152948469669977,0.0152884574528808,0.3476048614706,-0.265273164218276,0.12247267582092,6
18,1e-18,0.0960151340968756,-0.0481674261707379,0.119990205050466,0.12928986726559,-0.291283354659043,0.483313622852794,-0.303061707466727,0.0927152854807726,0.00953829448140335,0.18134101539331,-0.175235280443277,0.367265548637028,6
