"horizon","true_irf","theta_hat","mean_coef","mean_se_HC","mean_se_NW","lower_sym","upper_sym","lower_eq","upper_eq","lower_pct","upper_pct","lower_norm","upper_norm","iter"
1,0.5,0.518199890687927,0.506417564530208,0.0977518462014618,0.0984656095819273,0.421678853226588,0.614720928149266,0.424287017232779,0.590545277726852,0.42530864492226,0.574136820320955,0.338105401982188,0.698294379393666,1
6,1e-06,0.0432083158113951,0.178827062152121,0.136381418424807,0.135214084717686,-0.149458681517722,0.235875313140513,0.0880893522784812,0.241409305905409,0.0844825513330216,0.278080935959602,-0.160393711085359,0.24681034270815,1
12,0.000244140625,-0.273979438156621,0.0571445812118192,0.120992370018407,0.139089075486464,-0.693438109566131,0.145479233252889,-0.0925469928109689,0.185589961911706,0.0125910629238935,0.269018688515696,-0.457150119264283,-0.090808757048958,1
18,1e-18,-0.015000219313004,-0.0806739440706535,0.147667771929363,0.165023785216177,-0.140041042782611,0.110040604156603,-0.163295393659997,-0.015277504336343,0.0130358710166493,0.175718263424446,-0.226856647814073,0.196856209188065,1
1,0.5,0.487756726633585,0.506142900492071,0.0905435037835784,0.103150563802446,0.403241659663707,0.572271793603463,0.453625163805627,0.579640454161121,0.433610952701447,0.591728671887487,0.370946897509358,0.604566555757812,2
6,1e-06,-0.0215213507625261,0.0464577833054728,0.111261542373164,0.116547113907963,-0.140743573263948,0.0977008717388961,-0.028524319352402,0.110881208044387,0.0091493650484835,0.132710808116306,-0.172313884343335,0.129271182818283,2
12,0.000244140625,0.0615008283632488,0.0156338722348729,0.123635912221378,0.133134263737205,-0.0571008042555218,0.180102460982019,-0.0657025886634498,0.108387937425043,0.018266489874256,0.11861814325044,-0.1198605641929,0.242862220919398,2
18,1e-18,0.0519023031215354,0.0357240609921724,0.12662655856246,0.140443815945895,-0.0975680451878689,0.20137265143094,-0.0599915339905549,0.203100707503951,0.042018990611232,0.236568485164746,-0.118074714062057,0.221879320305128,2
1,0.5,0.445626052849871,0.401040402863615,0.0964015872347299,0.111666723062635,0.327671588729947,0.563580516969795,0.298425136111453,0.446691875872209,0.301548648094158,0.44734261135582,0.29652163245556,0.594730473244181,3
6,1e-06,0.0267141792210618,0.08758193632131,0.117145556821369,0.13144223212683,-0.0907980223406652,0.144226380782789,0.0234584658937784,0.146270424836769,0.02335837519315,0.175011407847376,-0.157789429544493,0.211217787986617,3
12,0.000244140625,0.0773899920766939,-0.0153295436235363,0.0974281503393344,0.116639523427212,-0.212733582365011,0.367513566518399,-0.273211935598604,0.12772148871409,0.0184528939289327,0.265919940939219,-0.105554767238438,0.260334751391825,3
