"horizon","cov_eq","cov_sym","cov_pct","cov_norm","avg_w_eq","avg_w_sym","avg_w_pct","avg_w_norm","med_w_eq","med_w_sym","med_w_pct","med_w_norm"
1,0.6,0.78,0.59,0.81,0.212251833244122,0.29362355028136,0.19968901619127,0.307302915217728,0.193609919011397,0.265398845863295,0.187068366910607,0.298986533548449
6,0.79,0.85,0,0.78,0.285151742881563,0.450991725673329,0.174065063639576,0.393726238129806,0.27489657338149,0.414894369539077,0.170906242146922,0.394338898818303
12,0.87,0.97,0,0.84,0.269120705568633,0.478785519029448,0.153505374815667,0.394526006028062,0.248059977513207,0.432436238660625,0.149428373459903,0.383387322814573
18,0.91,0.99,0,0.88,0.30546976082338,0.524797472130341,0.153940588978817,0.410276924480216,0.293042862888107,0.4806714620753,0.147905672425994,0.395925650472131
